Vármegye,Település neve,Útszám,Kilométer-szelvény/utca,GPS koordináta szélesség,GPS koordináta hosszúság
Győr-Moson-Sopron,Mosonmagyaróvár,,161+043,47.853141,17.279949
Győr-Moson-Sopron,Mosonmagyaróvár,,M1 157+200,47.839011,17.265893
Győr-Moson-Sopron,Nagycenk,,Kiscenki utca 22.,47.608880,16.708242
Győr-Moson-Sopron,Nagyszentjános,,M1 104+200,47.684400,17.837839
Győr-Moson-Sopron,Sopron,,84127+960,47.736864,16.549398
Győr-Moson-Sopron,Újkér,,Soproni utca 26.,47.461630,16.812210
Győr-Moson-Sopron,Vitnyéd,,8546+842,47.587309,16.982976

Hajdú-Bihar,Berettyóújfalu,,4745+710,47.150768,21.494978
Hajdú-Bihar,Berettyóújfalu,,Honvéd utca 21.,47.238873,21.534977
Hajdú-Bihar,Bocskaikert,,4237+885,47.638981,21.659109
Hajdú-Bihar,Debrecen,,474+742,47.489330,21.632533
Hajdú-Bihar,Debrecen,,3104+545,47.546247,21.569829
Hajdú-Bihar,Debrecen,,3576+836,47.578073,21.590622
Hajdú-Bihar,Debrecen,,Szabó Kálmán u. 19.,47.517990,21.636230
Hajdú-Bihar,Debrecen,,Budai Nagy Antal u.139.,47.543440,21.658560
Hajdú-Bihar,Debrecen,,Töhötöm utca – Maros utca kereszteződése,47.537924,21.601212
Hajdú-Bihar,Furta,,47,47.150222,21.494417
Hajdú-Bihar,Püspökladány,,421+707,47.315325,21.123963
Hajdú-Bihar,Püspökladány,,4179+893,47.332151,21.127139
Hajdú-Bihar,Tépe,,4727+053,47.302916,21.556958

Heves,Eger,,2511+965,47.880992,20.381692
Heves,Eger,,2460+191,47.910120,20.358337
Heves,Eger,,Vecseyvölgy utca 84.,47.910902,20.391192
Heves,Eger,,Árpád utca 2.,47.891841,20.376454
Heves,Gyöngyös,,381+085,47.773959,19.925026
Heves,Hatvan,,Horváth Mihály út 4.,47.666630,19.687420
Heves,Kápolna,,3109+918,47.759477,20.244569
Heves,Nagyfüged,,M3 88+048,47.705471,20.081286
Heves,Nagyfüged,,M3 88+074,47.705504,20.081629

Jász-Nagykun-Szolnok,Cserkeszőlő,,4443 ksz 71 m,46.862986,20.204283
Jász-Nagykun-Szolnok,Jászalsószentgyörgy,,3250+219,47.364398,20.093114
Jász-Nagykun-Szolnok,Jászberény,,3225+155,47.515163,19.902168
Jász-Nagykun-Szolnok,Jászberény,,Kossuth Lajos utca  87.,47.494404,19.902319
Jász-Nagykun-Szolnok,Karcag,,34013+877,47.329112,20.904080
Jász-Nagykun-Szolnok,Kunhegyes,,3438+671,47.356946,20.624332
Jász-Nagykun-Szolnok,Kunszentmárton,,451+893,46.835641,20.292561
Jász-Nagykun-Szolnok,Öcsöd,,4461+693,46.899849,20.394629
Jász-Nagykun-Szolnok,Rákóczifalva,,Szent László Király út 56.,47.093697,20.232648
Jász-Nagykun-Szolnok,Szolnok,,Kertész u. 94.,47.138790,20.207550
Jász-Nagykun-Szolnok,Szolnok,,3273+775,47.175091,20.176526
Jász-Nagykun-Szolnok,Szolnok,,32250+400,47.168964,20.203420
Jász-Nagykun-Szolnok,Szolnok,,46253+173,47.153557,20.164968
Jász-Nagykun-Szolnok,Törökszentmiklós,,462+009,47.165942,20.428589

Komárom-Esztergom,Ács,,M1 91+600,47.683189,18.004071
Komárom-Esztergom,Ászár,,8149+664,47.512171,17.999449
Komárom-Esztergom,Komárom,,180+847,47.734297,18.190604
Komárom-Esztergom,Nyergesújfalú,,1048+313,47.752641,18.611463
Komárom-Esztergom,Nyergesújfalú,,Kossuth Lajos u. 159.,47.759580,18.561640
Komárom-Esztergom,Tát,,1044+145,47.738297,18.661466
Komárom-Esztergom,Tata,,164+250,47.646116,18.331549
Komárom-Esztergom,Tata,,Táncsics Mihály u.,47.640790,18.308530
Komárom-Esztergom,Tata,,Május 1. út – Nagykert utca kereszteződése,47.641657,18.308778
Komárom-Esztergom,Tatabánya,,153+722,47.575099,18.413768
Komárom-Esztergom,Vértesszőlős,,M1 63+800,47.613117,18.352662

Nógrád,Bátonyterenye,,2141 ksz 818 m,47.995706,19.819457
Nógrád,Érsekvadkert,,227+617,47.992907,19.196496
Nógrád,Mátraterenye,,2312+808,48.010096,19.972821
Nógrád,Salgótarján,,23073+473,48.094532,19.800646
Nógrád,Salgótarján,,2156+500,48.121734,19.804504
